,State,Date,population,confirmed,deaths,recovered,people_hospitalized,hospitalization_rate,incident_rate,mortality_rate,testing_rate,TestsReported
3,Alabama,2020-04-12,4903185.0,3563,93,0.0,437.0,12.26,75.99,2.61,460.3,2165
2,Alabama,2020-04-13,4903185.0,3734,99,0.0,457.0,12.24,79.63,2.65,622.36,2626
1,Alabama,2020-04-14,4903185.0,3953,114,0.0,493.0,12.47,84.31,2.88,706.29,2942
0,Alabama,2020-04-15,4903185.0,4075,118,0.0,525.0,12.88,86.91,2.9,726.76,3289
6,Alabama,2020-04-16,4903185.0,4345,133,0.0,553.0,12.73,92.67,3.06,776.11,3079
5,Alabama,2020-04-17,4903185.0,4571,148,0.0,594.0,12.99,97.49,3.24,807.18,8756
4,Alabama,2020-04-18,4903185.0,4712,153,0.0,620.0,13.16,100.49,3.25,907.21,3160
11,Alabama,2020-04-19,4903185.0,4888,157,0.0,641.0,13.11,104.25,3.21,974.9,966
10,Alabama,2020-04-20,4903185.0,5079,163,0.0,641.0,12.62,108.32,3.21,978.91,2415
9,Alabama,2020-04-21,4903185.0,5317,183,0.0,699.0,13.15,113.4,3.44,1034.91,2741
8,Alabama,2020-04-22,4903185.0,5593,196,0.0,730.0,13.05,119.28,3.5,1039.9,4464
7,Alabama,2020-04-23,4903185.0,5832,202,0.0,768.0,13.17,124.38,3.46,1122.67,4348
14,Alabama,2020-04-24,4903185.0,6026,209,0.0,769.0,12.76,128.52,3.47,1127.96,3111
13,Alabama,2020-04-25,4903185.0,6026,209,0.0,839.0,13.92,128.52,3.47,1521.55,3556
12,Alabama,2020-04-26,4903185.0,6421,219,0.0,845.0,13.16,136.94,3.41,1568.62,1323
18,Alabama,2020-04-27,4903185.0,6539,228,0.0,872.0,13.34,139.46,3.49,1578.13,2313
17,Alabama,2020-04-28,4903185.0,6750,242,0.0,911.0,13.5,143.96,3.59,1617.16,16180
16,Alabama,2020-04-29,4903185.0,6912,256,0.0,945.0,13.67,147.41,3.7,1715.73,4129
15,Alabama,2020-04-30,4903185.0,7088,272,0.0,978.0,13.8,151.17,3.84,1859.63,4093
