State,Date,TestsReported,SAA_t_1_scalar,SAA_t_1_vector,SAA_cumul_scalar,SAA_cumul_vector
Alabama,2020-04-13,2626,2151.0,2165.0,2151.0,2165.0
Alaska,2020-04-13,399,2151.0,262.0,2151.0,262.0
Arizona,2020-04-13,947,2151.0,1119.0,2151.0,1119.0
Arkansas,2020-04-13,293,2151.0,625.0,2151.0,625.0
California,2020-04-13,9150,2151.0,10816.0,2151.0,10816.0
Colorado,2020-04-13,50,2151.0,10.0,2151.0,10.0
Connecticut,2020-04-13,1680,2151.0,2703.0,2151.0,2703.0
Delaware,2020-04-13,767,2151.0,496.0,2151.0,496.0
District of Columbia,2020-04-13,391,2151.0,547.0,2151.0,547.0
Florida,2020-04-13,14472,2151.0,4518.0,2151.0,4518.0
Georgia,2020-04-13,4603,2151.0,1131.0,2151.0,1131.0
Hawaii,2020-04-13,429,2151.0,776.0,2151.0,776.0
Idaho,2020-04-13,838,2151.0,913.0,2151.0,913.0
Illinois,2020-04-13,5728,2151.0,3198.0,2151.0,3198.0
Indiana,2020-04-13,2380,2151.0,2790.0,2151.0,2790.0
Iowa,2020-04-13,54,2151.0,57.0,2151.0,57.0
Kansas,2020-04-13,516,2151.0,615.0,2151.0,615.0
Kentucky,2020-04-13,532,2151.0,721.0,2151.0,721.0
Louisiana,2020-04-13,4748,2151.0,1914.0,2151.0,1914.0
Maine,2020-04-13,503,2151.0,349.0,2151.0,349.0
Maryland,2020-04-13,2326,2151.0,3015.0,2151.0,3015.0
Massachusetts,2020-04-13,5881,2151.0,7221.0,2151.0,7221.0
Michigan,2020-04-13,4377,2151.0,3381.0,2151.0,3381.0
Minnesota,2020-04-13,85,2151.0,28.0,2151.0,28.0
Mississippi,2020-04-13,1289,2151.0,1486.0,2151.0,1486.0
Missouri,2020-04-13,1465,2151.0,1193.0,2151.0,1193.0
Montana,2020-04-13,314,2151.0,432.0,2151.0,432.0
Nebraska,2020-04-13,520,2151.0,693.0,2151.0,693.0
Nevada,2020-04-13,788,2151.0,1344.0,2151.0,1344.0
New Hampshire,2020-04-13,181,2151.0,404.0,2151.0,404.0
