State,Date,TestsReported,Shift_Date,SAA_t_1_scalar,SAA_t_1_vector
North Dakota,2020-04-13,281,2020-04-14,2151.0,218.0
Maine,2020-04-13,503,2020-04-14,2151.0,349.0
New Hampshire,2020-04-13,181,2020-04-14,2151.0,404.0
West Virginia,2020-04-13,335,2020-04-14,2151.0,607.0
Texas,2020-04-13,5024,2020-04-14,2151.0,8881.0
Iowa,2020-04-13,54,2020-04-14,2151.0,57.0
Rhode Island,2020-04-13,467,2020-04-14,2151.0,1059.0
New Jersey,2020-04-13,502,2020-04-14,2151.0,222.0
Oregon,2020-04-13,1540,2020-04-14,2151.0,1464.0
South Dakota,2020-04-13,0,2020-04-14,2151.0,0.0
Kentucky,2020-04-13,532,2020-04-14,2151.0,721.0
Maryland,2020-04-13,2326,2020-04-14,2151.0,3015.0
Georgia,2020-04-13,4603,2020-04-14,2151.0,1131.0
Mississippi,2020-04-13,1289,2020-04-14,2151.0,1486.0
Illinois,2020-04-13,5728,2020-04-14,2151.0,3198.0
Arkansas,2020-04-13,293,2020-04-14,2151.0,625.0
Vermont,2020-04-13,398,2020-04-14,2151.0,471.0
District of Columbia,2020-04-13,391,2020-04-14,2151.0,547.0
Alabama,2020-04-13,2626,2020-04-14,2151.0,2165.0
Virginia,2020-04-13,1439,2020-04-14,2151.0,2330.0
Tennessee,2020-04-13,2207,2020-04-14,2151.0,3390.0
Washington,2020-04-13,2255,2020-04-14,2151.0,3961.0
North Carolina,2020-04-13,1278,2020-04-14,2151.0,1190.0
Wyoming,2020-04-13,347,2020-04-14,2151.0,0.0
Arizona,2020-04-13,947,2020-04-14,2151.0,1119.0
Delaware,2020-04-13,767,2020-04-14,2151.0,496.0
Puerto Rico,2020-04-13,178,2020-04-14,2151.0,104.0
Connecticut,2020-04-13,1680,2020-04-14,2151.0,2703.0
Alaska,2020-04-13,399,2020-04-14,2151.0,262.0
Idaho,2020-04-13,838,2020-04-14,2151.0,913.0
Massachusetts,2020-04-13,5881,2020-04-14,2151.0,7221.0
Nevada,2020-04-13,788,2020-04-14,2151.0,1344.0
Wisconsin,2020-04-13,1341,2020-04-14,2151.0,1221.0
Utah,2020-04-13,3521,2020-04-14,2151.0,1714.0
Nebraska,2020-04-13,520,2020-04-14,2151.0,693.0
New York,2020-04-13,16270,2020-04-14,2151.0,18477.0
Missouri,2020-04-13,1465,2020-04-14,2151.0,1193.0
Ohio,2020-04-13,2507,2020-04-14,2151.0,2241.0
Indiana,2020-04-13,2380,2020-04-14,2151.0,2790.0
Minnesota,2020-04-13,85,2020-04-14,2151.0,28.0
Kansas,2020-04-13,516,2020-04-14,2151.0,615.0
Louisiana,2020-04-13,4748,2020-04-14,2151.0,1914.0
Hawaii,2020-04-13,429,2020-04-14,2151.0,776.0
Pennsylvania,2020-04-13,3386,2020-04-14,2151.0,5495.0
California,2020-04-13,9150,2020-04-14,2151.0,10816.0
South Carolina,2020-04-13,733,2020-04-14,2151.0,808.0
New Mexico,2020-04-13,853,2020-04-14,2151.0,1921.0
Montana,2020-04-13,314,2020-04-14,2151.0,432.0
Oklahoma,2020-04-13,842,2020-04-14,2151.0,1176.0
Colorado,2020-04-13,50,2020-04-14,2151.0,10.0
Florida,2020-04-13,14472,2020-04-14,2151.0,4518.0
Michigan,2020-04-13,4377,2020-04-14,2151.0,3381.0
Nevada,2020-04-14,742,2020-04-15,2193.0,788.0
Delaware,2020-04-14,720,2020-04-15,2193.0,767.0
Arkansas,2020-04-14,780,2020-04-15,2193.0,293.0
Vermont,2020-04-14,446,2020-04-15,2193.0,398.0
Maryland,2020-04-14,3961,2020-04-15,2193.0,2326.0
North Dakota,2020-04-14,520,2020-04-15,2193.0,281.0
Washington,2020-04-14,4186,2020-04-15,2193.0,2255.0
New Jersey,2020-04-14,499,2020-04-15,2193.0,502.0
Rhode Island,2020-04-14,1664,2020-04-15,2193.0,467.0
Texas,2020-04-14,4379,2020-04-15,2193.0,5024.0
Arizona,2020-04-14,2575,2020-04-15,2193.0,947.0
Indiana,2020-04-14,5328,2020-04-15,2193.0,2380.0
Puerto Rico,2020-04-14,161,2020-04-15,2193.0,178.0
Georgia,2020-04-14,5491,2020-04-15,2193.0,4603.0
West Virginia,2020-04-14,868,2020-04-15,2193.0,335.0
Ohio,2020-04-14,3614,2020-04-15,2193.0,2507.0
Louisiana,2020-04-14,5146,2020-04-15,2193.0,4748.0
California,2020-04-14,21999,2020-04-15,2193.0,9150.0
New Hampshire,2020-04-14,337,2020-04-15,2193.0,181.0
New Mexico,2020-04-14,591,2020-04-15,2193.0,853.0
Nebraska,2020-04-14,1152,2020-04-15,2193.0,520.0
South Carolina,2020-04-14,1456,2020-04-15,2193.0,733.0
Massachusetts,2020-04-14,7056,2020-04-15,2193.0,5881.0
Alabama,2020-04-14,2942,2020-04-15,2193.0,2626.0
Michigan,2020-04-14,6097,2020-04-15,2193.0,4377.0
Hawaii,2020-04-14,903,2020-04-15,2193.0,429.0
Mississippi,2020-04-14,2404,2020-04-15,2193.0,1289.0
Pennsylvania,2020-04-14,6044,2020-04-15,2193.0,3386.0
South Dakota,2020-04-14,0,2020-04-15,2193.0,0.0
Florida,2020-04-14,14621,2020-04-15,2193.0,14472.0
Montana,2020-04-14,730,2020-04-15,2193.0,314.0
Minnesota,2020-04-14,56,2020-04-15,2193.0,85.0
Kansas,2020-04-14,1091,2020-04-15,2193.0,516.0
Iowa,2020-04-14,83,2020-04-15,2193.0,54.0
Colorado,2020-04-14,91,2020-04-15,2193.0,50.0
Virginia,2020-04-14,1931,2020-04-15,2193.0,1439.0
Alaska,2020-04-14,398,2020-04-15,2193.0,399.0
Kentucky,2020-04-14,631,2020-04-15,2193.0,532.0
Utah,2020-04-14,6461,2020-04-15,2193.0,3521.0
Oklahoma,2020-04-14,895,2020-04-15,2193.0,842.0
New York,2020-04-14,19713,2020-04-15,2193.0,16270.0
Illinois,2020-04-14,6575,2020-04-15,2193.0,5728.0
District of Columbia,2020-04-14,479,2020-04-15,2193.0,391.0
Missouri,2020-04-14,2374,2020-04-15,2193.0,1465.0
North Carolina,2020-04-14,2568,2020-04-15,2193.0,1278.0
Connecticut,2020-04-14,1995,2020-04-15,2193.0,1680.0
Oregon,2020-04-14,1928,2020-04-15,2193.0,1540.0
Idaho,2020-04-14,916,2020-04-15,2193.0,838.0
Tennessee,2020-04-14,4492,2020-04-15,2193.0,2207.0
Wisconsin,2020-04-14,1790,2020-04-15,2193.0,1341.0
Maine,2020-04-14,632,2020-04-15,2193.0,503.0
Wyoming,2020-04-14,0,2020-04-15,2193.0,347.0
Nevada,2020-04-15,938,2020-04-16,3125.0,742.0
Kansas,2020-04-15,1110,2020-04-16,3125.0,1091.0
Illinois,2020-04-15,6578,2020-04-16,3125.0,6575.0
Arkansas,2020-04-15,758,2020-04-16,3125.0,780.0
Idaho,2020-04-15,1308,2020-04-16,3125.0,916.0
Montana,2020-04-15,768,2020-04-16,3125.0,730.0
Iowa,2020-04-15,107,2020-04-16,3125.0,83.0
West Virginia,2020-04-15,916,2020-04-16,3125.0,868.0
Utah,2020-04-15,6288,2020-04-16,3125.0,6461.0
Ohio,2020-04-15,3988,2020-04-16,3125.0,3614.0
Arizona,2020-04-15,2118,2020-04-16,3125.0,2575.0
Missouri,2020-04-15,2548,2020-04-16,3125.0,2374.0
North Carolina,2020-04-15,2776,2020-04-16,3125.0,2568.0
Alaska,2020-04-15,551,2020-04-16,3125.0,398.0
New York,2020-04-15,21052,2020-04-16,3125.0,19713.0
Texas,2020-04-15,6904,2020-04-16,3125.0,4379.0
South Dakota,2020-04-15,0,2020-04-16,3125.0,0.0
North Dakota,2020-04-15,676,2020-04-16,3125.0,520.0
California,2020-04-15,13958,2020-04-16,3125.0,21999.0
New Jersey,2020-04-15,561,2020-04-16,3125.0,499.0
Delaware,2020-04-15,979,2020-04-16,3125.0,720.0
Washington,2020-04-15,3709,2020-04-16,3125.0,4186.0
Tennessee,2020-04-15,4855,2020-04-16,3125.0,4492.0
Connecticut,2020-04-15,2717,2020-04-16,3125.0,1995.0
District of Columbia,2020-04-15,583,2020-04-16,3125.0,479.0
Oregon,2020-04-15,1973,2020-04-16,3125.0,1928.0
Wyoming,2020-04-15,15,2020-04-16,3125.0,0.0
Oklahoma,2020-04-15,1529,2020-04-16,3125.0,895.0
Mississippi,2020-04-15,1400,2020-04-16,3125.0,2404.0
Alabama,2020-04-15,3289,2020-04-16,3125.0,2942.0
South Carolina,2020-04-15,1351,2020-04-16,3125.0,1456.0
Kentucky,2020-04-15,1130,2020-04-16,3125.0,631.0
Rhode Island,2020-04-15,1946,2020-04-16,3125.0,1664.0
Colorado,2020-04-15,115,2020-04-16,3125.0,91.0
Vermont,2020-04-15,507,2020-04-16,3125.0,446.0
Michigan,2020-04-15,5247,2020-04-16,3125.0,6097.0
Virginia,2020-04-15,2994,2020-04-16,3125.0,1931.0
Hawaii,2020-04-15,1247,2020-04-16,3125.0,903.0
Pennsylvania,2020-04-15,7858,2020-04-16,3125.0,6044.0
Puerto Rico,2020-04-15,154,2020-04-16,3125.0,161.0
Indiana,2020-04-15,6029,2020-04-16,3125.0,5328.0
Georgia,2020-04-15,5375,2020-04-16,3125.0,5491.0
Nebraska,2020-04-15,1843,2020-04-16,3125.0,1152.0
Maine,2020-04-15,705,2020-04-16,3125.0,632.0
Minnesota,2020-04-15,41,2020-04-16,3125.0,56.0
Louisiana,2020-04-15,5415,2020-04-16,3125.0,5146.0
Florida,2020-04-15,16843,2020-04-16,3125.0,14621.0
New Hampshire,2020-04-15,472,2020-04-16,3125.0,337.0
Maryland,2020-04-15,3691,2020-04-16,3125.0,3961.0
Massachusetts,2020-04-15,11217,2020-04-16,3125.0,7056.0
New Mexico,2020-04-15,1455,2020-04-16,3125.0,591.0
Wisconsin,2020-04-15,1845,2020-04-16,3125.0,1790.0
Virginia,2020-04-16,3375,2020-04-17,3316.0,2994.0
Alaska,2020-04-16,499,2020-04-17,3316.0,551.0
North Carolina,2020-04-16,2854,2020-04-17,3316.0,2776.0
Utah,2020-04-16,8300,2020-04-17,3316.0,6288.0
Ohio,2020-04-16,3893,2020-04-17,3316.0,3988.0
Pennsylvania,2020-04-16,7987,2020-04-17,3316.0,7858.0
Hawaii,2020-04-16,833,2020-04-17,3316.0,1247.0
Missouri,2020-04-16,2386,2020-04-17,3316.0,2548.0
South Carolina,2020-04-16,1569,2020-04-17,3316.0,1351.0
Iowa,2020-04-16,96,2020-04-17,3316.0,107.0
Oklahoma,2020-04-16,1587,2020-04-17,3316.0,1529.0
Colorado,2020-04-16,121,2020-04-17,3316.0,115.0
Montana,2020-04-16,637,2020-04-17,3316.0,768.0
Connecticut,2020-04-16,3878,2020-04-17,3316.0,2717.0
Florida,2020-04-16,15584,2020-04-17,3316.0,16843.0
Tennessee,2020-04-16,5558,2020-04-17,3316.0,4855.0
Nebraska,2020-04-16,1724,2020-04-17,3316.0,1843.0
Kentucky,2020-04-16,973,2020-04-17,3316.0,1130.0
Oregon,2020-04-16,2347,2020-04-17,3316.0,1973.0
Idaho,2020-04-16,1200,2020-04-17,3316.0,1308.0
Mississippi,2020-04-16,1573,2020-04-17,3316.0,1400.0
West Virginia,2020-04-16,884,2020-04-17,3316.0,916.0
South Dakota,2020-04-16,0,2020-04-17,3316.0,0.0
Michigan,2020-04-16,5775,2020-04-17,3316.0,5247.0
Minnesota,2020-04-16,227,2020-04-17,3316.0,41.0
Kansas,2020-04-16,1377,2020-04-17,3316.0,1110.0
Arizona,2020-04-16,2135,2020-04-17,3316.0,2118.0
Indiana,2020-04-16,5053,2020-04-17,3316.0,6029.0
New Jersey,2020-04-16,319,2020-04-17,3316.0,561.0
Washington,2020-04-16,3630,2020-04-17,3316.0,3709.0
Delaware,2020-04-16,807,2020-04-17,3316.0,979.0
Maine,2020-04-16,737,2020-04-17,3316.0,705.0
Illinois,2020-04-16,6575,2020-04-17,3316.0,6578.0
California,2020-04-16,16945,2020-04-17,3316.0,13958.0
Texas,2020-04-16,5307,2020-04-17,3316.0,6904.0
Puerto Rico,2020-04-16,129,2020-04-17,3316.0,154.0
District of Columbia,2020-04-16,813,2020-04-17,3316.0,583.0
North Dakota,2020-04-16,614,2020-04-17,3316.0,676.0
Nevada,2020-04-16,1136,2020-04-17,3316.0,938.0
Maryland,2020-04-16,4583,2020-04-17,3316.0,3691.0
Rhode Island,2020-04-16,2885,2020-04-17,3316.0,1946.0
Vermont,2020-04-16,460,2020-04-17,3316.0,507.0
Wyoming,2020-04-16,0,2020-04-17,3316.0,15.0
Arkansas,2020-04-16,940,2020-04-17,3316.0,758.0
New York,2020-04-16,26425,2020-04-17,3316.0,21052.0
New Hampshire,2020-04-16,412,2020-04-17,3316.0,472.0
Georgia,2020-04-16,6315,2020-04-17,3316.0,5375.0
Wisconsin,2020-04-16,2118,2020-04-17,3316.0,1845.0
Massachusetts,2020-04-16,10245,2020-04-17,3316.0,11217.0
New Mexico,2020-04-16,1156,2020-04-17,3316.0,1455.0
